author_name,sentiment,compound_score,positive_score,negative_score,neutral_score,likes,reply_count,comment_text
@2024_.Angela,Negative,-0.34,0.0,0.156,0.844,0,0,"I was unimpressed with the whole line up,the audacity of some of these men,enough said.🤦🏽‍♀️"
@jtwoine,Negative,-0.5719,0.127,0.315,0.558,0,0,I feel like the widow lady killed her husband. Seriously. Has there been an investigation
@Giovanniburns05,Neutral,0.0,0.0,0.0,1.0,0,0,*Yeshua
@ipoags,Negative,-0.7269,0.0,0.276,0.724,0,0,I wouldn't travel there to pop over simple things crazy work and I hate that they pop before q first question 😒
@Iiiavatarr,Positive,0.4389,0.266,0.0,0.734,0,0,Mcmas 🎄Arlette bk ty 4 these vidss every week !❤
@brandonbandstra226,Positive,0.4404,0.42,0.0,0.58,0,0,Man she keep getting better
@EKTELESTES,Positive,0.7887,0.295,0.0,0.705,1,0,2026 Suggestion:   Host an Anniversary Show and Invite All interesting and colorful characters like Dr. Elom or the 41-father's-only-son!! It will be A M A Z I N G ! ! !
@chibi0109,Positive,0.296,0.136,0.0,0.864,0,0,1:15:43 yep that's how I was raised you are married even after divorce unless you're a widow
@LYBUAlexiaPhillips,Positive,0.128,0.118,0.096,0.786,0,0,No kids & his father’s “only child”. He definitely might wanna have kids for the legacy or name to carry on..
@stevenhenry123,Negative,-0.2778,0.094,0.189,0.717,0,0,I don't like when women get surgery and act like they some type of fitness gurus... The arms never lie
@BasicallyBiz,Neutral,0.0,0.0,0.0,1.0,0,0,Apparently everybody runs a business
@allieadams9311,Positive,0.3612,0.152,0.0,0.848,0,0,Dang why didn’t anyone like the multi color dress lady she was the 3rd lady..
@jalil3579,Positive,0.8957,0.309,0.096,0.596,0,0,"Red dress gave them a way out......she's attractive, just not sexually attractive for ""the rest of my life"". ...and that's okay. You can easily tell she's heard this before. No shame. 'Three's Company' is a great example. Good to bone, not for home."
@Goldan1,Positive,0.6908,0.388,0.0,0.612,0,0,A grown man talking about putting a gift under tree is wild lol
@gnahenry8162,Positive,0.4816,0.205,0.0,0.795,0,0,The women today were very classy and mature but some of these dudes literally need to stay single
@jtwoine,Positive,0.4215,0.259,0.0,0.741,0,0,Arlette had to tell the widow that's enough  lol
@kingjah4001,Positive,0.9247,0.256,0.0,0.744,1,0,"Religiosity should Never, Ever take over LOVE.
The penultimate lady contestant namely...Noel... though appears straight forwardly sincere, has too much ""Negativity"" associated with her mentality.

 She is being ""screwed"" up by Religion. 

You all should have a show specially dedicated to...
""Religious freaks""...!!!

😮😮😮😢😢😢😂😂😂"
